number	sentence	perceptual?	pay attention to?	bearing in mind?	perceptual?IH	pay attention to?IH	bearing in mind?IH	NotesIH	perceptual?MC	pay attention to?MC	bearing in mind?MC	NotesMC	Consensus	Perc	
192	 She gazed out of the passenger window with unseeing eyes, hardly aware of the changing scenery as it flashed by, letting the music wash over her, concentrating on the familiar piece, losing herself in its beauty.	P	A		P	A			P	A		Partial Negation 	0	P	
198	 Hi, Cameron, he said, and I knew then he'd been aware of me all the time.	P			P				P	A	 		0	P	
203	 He was aware of his father, glancing at the frozen man whose darkly bearded head still hung as if with shame, his body hunched, the cold seeping through the bear and wolf skins.	P			P				P	A			0	P	
211	 By consciously breathing, that is, by becoming aware of the breath as it flows in and out, we begin to recognise the pattern of life itself: the ebb and flow of the tides; the waxing and waning of the Moon.	P	A		P	A			P	A			0	P	
215	 It will be aware of its master, in that it hears and smells him, and of its own exertions, in that it is awake, but it will  not be aware that it  recognises him, for this is of the order of tomorrow's delayed return a linguistic belief of which dumb brutes are incapable.	P			P				P			Is this in the right corpus?	0	P	
220	 She was self-consciously aware of the silk slip, the new bra next to her skin and she had walked stiffly into the room the butler ushered her into.	P	A		P	A			P				0	P	
224	 You not only see the food, you feel it in your hands, distinct and concrete, you are aware of its rich and striking smell; someone in the dream even holds it up to your lips, but every time a different circumstance intervenes to prevent the consummation of the act.	P			P	A			P	A			0	P	
244	 An involuntary shiver ran through her, and as if he was aware of it, something flared briefly in his eyes before he released her.	P			P				P	A			0	P	
253	 Sabine had been guiltily aware of the click of her sandal heels on the flags of the ancient cloister, and was tempted to tiptoe instead, in case she upset the sleeping spirits of the long-departed monks with such frivolous modernity.	P	A	B	P				P	A			0	P	
256	 He'd become more aware of her as an attractive girl with a very feminine figure that the fashionable flat-chested dress styles could not conceal.	P			P				P	A			0	P	
260	 Unknown to me a honeybee had made a hive in this part of the wall and not long afterwards I became aware of an angry bee searching frantically for the entrance to its hive.	P	A		P				P	A			0	P	
266	 Uncomfortably aware of his closeness in the small room, of the breadth of shoulders beneath the casual beige and black and oatmeal wool, she moved to the wall, ostensibly to examine a framed drawing of a wine-cooler.	P		B	P				P	A			0	P	
274	 She was hazily aware of being set down in a chair, then her head was pushed none too gently between her knees.	P			P				P				0	P	
275	 Perdita, in a faded purple T-shirt and sawn-off pale pink jeans, was pleasantly aware of all the men staring unashamedly at her.	P	A		P				P	A			0	P	
279	 Seeing : As you walk along the street, relax in your own home or work in your office, learn to become aware of your surroundings.	P			P	A			P	A			0	P	
285	 Deliberate or not, the movement made Polly acutely aware of his superb physique.	P			P				P	A			0	P	
294	 He was standing so close to her that she was aware of the warm scent of his skin.	P			P				P	A			0	P	
297	 She was in her bedroom on Saturday morning making a list of the errands and shopping she had to do when she became aware of an excited chattering in the courtyard below her window.	P	A		P				P	A			0	P	
307	 Then she was aware of the coolness of a shadow falling across her back, the presence of two men behind her.	P			P				P	A			0	P	
310	 Now become aware of your body and feel around for any areas that still feel tense and repeat the tightening and releasing of the muscles until you feel deeply relaxed and at peace.	P	A		P	A			P	A			0	P	
313	 Without her even being aware of it he had somehow moved into the cabin, leaving her standing at the open door.	P			P	A			P	A		Negation 	0	P	
322	 Salt is effective by stimulating the taste buds of the tongue and making them aware of the basic tastes of the food being eaten.	P			P				P			?a	0	P	
326	 Yanto waited another five minutes and became aware of the ever increasing wind as it began to flap his collar.	P	A		P				P	A			0	P	
334	 She was very aware of her dirty jacket smelling of cooking, her blood-soaked trousers and her uncleaned shoes.	P	A		P				P				0	P	
337	 As if aware of his scrutiny and annoyed by it, she jerked Blazer's head round and turned the horse's tail towards Tom.	P		B	P				P	A			0	P	
346	 She was aware of the colour touching her cheeks and in confusion she tore her gaze from his, picked up her glass, took a mouthful of orange juice and stared with furious intent into the depths of her glass.	P		B	P				P				0	P	
357	 Gradually she became aware of waves falling on a shore close by, and the air was sweet to breathe, with a tingle like clearest light.	P			P				P	A			0	P	
358	 The capacity to recircuit neurophysiologically the ongoing experiencing of the senses in such a way that the subject becomes aware of its situation through introspection of this analogue.	P			P				P	A			0		
396	 Be punctual, pay attention to what you wear, be aware of how others are reacting to the signals you are sending out.	P		B	P	A	B		P		B		0		
408	 Every instinct in her told her not to care, but as she had looked at him she had been all too aware of his lean virility and of her responses to it.	P	A		P				P	A			0		
410	 She would never have forgiven herself for feeling it, nor him for becoming aware of it.	P			P				P				0		
412	 Theda stood her ground, aware of Taggy hovering on the stairs behind her, the listening ears of the maids above, and Adam Diggory's unseen shadow at the back of the hall.	P			P				P	A			0		
413	 For many people life today is such a bustling affair with so many things to get through in the day that it is not difficult to forget to be aware of what is around us.	P	A		P	A			P				0		
415	 His mouth smothered hers again and she was aware of his taut, hard body lying across her own pliant form, aware of the roughness of his chest, the sculptured contours of muscle that rippled through her fingers as they clutched and stroked at his skin.	P			P				P	A		Bad sex award winner?	0		
417	 She picked up a small statuette which he hadn't been aware of before.	P	A		P	A			P	A		Negation 	0		
418	It was just around this stage that I became aware of the first footman beside me, who whispered: Miss Kenton would like a word with you, sir.	P			P				P	A			0		
425	 She awoke aware of four things it was dark; the rain had stopped; her T-shirt had pulled up and strong, warm arms rested protectively on her midriff; and the back of her was very warm and the front of her was very cold.	P			P				P	A			0		
442	 Grabbing her case, she marched along the passage to find a bedroom as far away from Guy Sterne's as possible, and pushed inside it, shutting the door and leaning weakly back against it, suddenly aware of how much she was trembling.	P	A		P				P	A			0		
444	 She was aware of Darren shivering beside her.	P			P				P	A			0		
445	 I was therefore concentrating very hard on what he was telling me when we both became aware of a sudden change in the atmosphere of the main office outside.	P			P				P	A			0		
455	 She glared up, aware of the slight change in his tone, and saw that his eyes were scouring hers with a strange kind of intensity.	P			P				P	A			0		
458	 You were aware of a particular feeling.	P			P				P	A			0		
463	 She was aware of lying flat on something soft.	P			P				P	A			0		
481	 While you are lying there try to become aware of any tensions in your body.	P	A		P	A			P	A			0		
483	 Is it any wonder that we don't really taste our food any more? learning to become aware of the flavour of what you eat and drink will not only give you a great deal of pleasure which you may have forgotten but it will also make you more discerning in what you choose to put into your mouth.	P			P	A			P	A			0		
487	 They were considering this choice when they were abruptly aware of Commander Abigail.	P			P				P	A			0		
520	 He became aware of their presence more by sensing it than hearing or seeing them.	P			P				P	A			0		
522	 They were walking their horses among the sand-dunes south of the castle, and on their left hand the sea ran high and grey, and the gulls were uneasy, aware of coming wind.	P			P				P				0		
538	Charles was aware of bird song, chiff-chaff, blackbird, and a crooning wood pigeon.	P			P				P	A			0		
541	 Because, despite what had been said, she was still so very much aware of him sitting mere yards away.	P			P				P	A			0		
542	 She was suddenly aware of approaching hurried footsteps, and scurried back into the last room she had passed, which wasn't locked and turned out to be a storeroom for spare cables and bulbs for the lighting system.	P			P				P	A			0		
558	 Then fitzAlan mounted behind her and she was immediately aware of the unyielding strength of his body against her back, the restrained power in his hand on the reins.	P			P				P	A			0		
580	 She made three trips, each time carrying a pair of heavy jugs which she emptied into a small copper hip bath: and each time increasingly aware of and responding to the gauntlet of Hope's lust.	P	A		P				P	A			0		
583	 She was aware of something very cold nuzzling at the entrance of her steaming crack.	P			P				P			WTF?	0		
584	 There'd been ever more frequent occasions, when he took her to dances and held her in his arms, that he had once more become acutely aware of her in a physical sense.	P			P				P	A			0		
585	 Fear suddenly leapt into my throat, hot as vomit; had not the mass of people held me up it is possible I might have lost consciousness, suddenly aware of the press, the heat, the stench of those unwashed bodies close to mine.	P	A		P				P	A			0		
586	 Why don't you bribe a waiter to stand outside the door? she snapped back, then stalked past him without a backward glance, acutely aware of the small smile playing at the corners of his mouth as his gaze followed her.	P	A		P				P	A			0		
596	 Throughout the rest of the uncomfortable meal she was aware of his speculative glance.	P			P				P	A			0		
598	 As soon as I see that a patient's breathing pattern is changing dramatically or that the eye movement behind the closed lids is altering, I instruct him to be aware of and to understand all that is happening but to see it as if on a film or television screen, so that he is completely detached and feels no physical or mental distress whatsoever.	P			P	A			P	A			0		
611	 She was aware of Harry's quickened breathing and realized that she had inflamed him, just as the French girl had foretold.	P			P				P	A			0		
627	 Sabine looked at it for a long moment, aware of a faint stirring in her consciousness, some elusive memory, fleetingly brought to life.	P			P			introspective	P	A			0		
639	 He seemed no longer even aware of her, his gaze fixed eagerly on the Isle.	P			P	A			P	A		Negation 	0		
642	 Paul left for the north again with a light heart, aware of surprise that he should be so glad to be returning after arriving, at first, so unwillingly.	P			P			introspective	P	A			0		
643	If she walked into a room, one was always aware of her.	P			P	A			P	A			0		
652	 She liked the way the perspiration slowly emerged through her skin looking like deposited dew and she liked to be aware of the naked bodies lying in so many different postures around her.	P			P				P	A			0		
653	 She turned over, acutely aware of the man on the other side of the door and angry at her own awareness.	P	A		P				P	A			0		
660	 She reached out to touch the surface, aware of a chill that seemed to have settled around her.	P			P				P	A			0		
661	 As it was, she was very much aware of the healthy return of her appetite, so why cut her nose off to spite her stomach?	P		B	P				P	A			0		
665	 She couldn't look at him, but she was vitally aware of his ragged breathing only inches above her.	P			P				P	A			0		
672	 Mrs Langley rose from a chair by the fire and Alexandra was aware of her daughters and someone else on a sofa in the great square bay window; and even as Mrs Langley was greeting her she could hear Rose say clearly, Well, whatever else she hasn't got, she certainly has elegant clothes, and Alexandra, stung out of all terror quite suddenly, said crisply, I will tell my aunt how much you admire her taste.	P			P				P	A			0		
676	 Although David was not sure whether they woke him or whether he simply became aware of them when he prised his eyes open at twenty-three minutes past six, the important point was that the voices existed.	P			P				P	A			0		
678	 That was part of the trouble, of course: she was just so aware of him.	P			P				P	A			0		
681	 I am sharply aware of every move I make, each crack of sound as I put down a cup, each dull ring as I move a spoon, each splash of water, squeak of the tap, thud of my shoe on the floor.	P			P	A			P	A			0		
682	 Then he became aware of new faces floating high above him.	P			P				P	A			0		
683	 She found him behind a tall potted plant in the far corner where, she suspected, he had been deliberately steered by the proprietor in order that as few people as possible should be aware of his presence in the establishment.	P			P				P	A			0		
691	 Jahsaxa was aware of hir change of heart.	P			P				P	A			0		
694	 They walked down the street in silence, each sharply aware of the other's presence, of the cold, of the greyness of the street and the claustrophobically low cloud.	P	A		P				P	A			0		
699	 Piercingly aware of his presence in the next room, her hand shook as she spooned coffee into the filter cup and switched on the machine.	P			P	A			P	A			0		
702	 Awareness, although aided by propositional knowledge, is primarily of the concrete situation, to which one cannot attend without being causally affected, so that to have become aware of it at all one must already be responding to it in ways which vary with the range and degree of awareness.	P			P	A			P	A			0		
708	 A person with IBS who has ignored the symptoms for years may become acutely aware of them when a close relative succumbs to cancer.	P			P	A			P	A	B		0		
734	 Her every sense was vitally aware of his presence.	P			P				P	A			0		
743	 V-very good, she managed at last, desperately aware of the way his fingers were creeping from her chin, sliding down lightly to her neck, then on towards her throat  the ghost of a touch, as light and sensual as any touch could be and all the more powerful and disturbing for that.	P	A		P	A			P	A			0		
744	 She was aware of footsteps running through the house.	P			P				P	A			0		
753	 Fran wished that it had been further away, wished that she'd had more time to compose herself and remove all traces of that kiss, but as she opened the door and got out of the car when they stopped in front of the neat little semi she was aware of the throbbing redness of her bruised lips, the faintly dishevelled state of her silvery hair.	P			P	A			P	A			0		
762	 After Liza had made sure an ambulance was on its way to the Rafferty home, she became aware of Celia, thumb in mouth, standing in the doorway of the kitchen.	P			P				P	A			0		
782	 The Node allowed one side of the brain to sleep while the other side stayed aware of the environment.	P			P				P	A			0		
786	 Babies are profoundly egocentric in that they are unable to view themselves as having an identity which is separate and distinct from the world which they are aware of through their senses.	P			P				P	A			0		
788	 She was vaguely aware of Curtis covering her with a travelling rug, then she was fast asleep, lulled by the steady drone of the engine and the comfortable warmth of the car's interior.	P			P				P	A		"“Vaguely""?"	0		
795	 The most interesting feature of the tests was that none of the recipients was aware of any smell coming from the smears.	P			P				P	A		Negation 	0		
798	 There was a long pause while she cleared the bed of her things, and she was aware of his eyes on her every movement as he checked over the items she'd packed for any signs of decadence.	P			P				P	A			0		
799	 All this time Bathsheba was aware of his eyes on her.	P			P				P	A			0		
803	 I felt a little better, and was aware of hunger pangs in my stomach.	P			P				P	A			0		
816	 He was suddenly aware of the sun, of bright sunshine pouring into the car.	P			P	A			P	A			0		
818	 An impatient exclamation brought her aware of the man leaning against the back of the settee in a deceptively relaxed pose.	P			P	A			P	A			0		
819	 He shivered and was about to turn and go inside, when he was aware of a shape.	P			P				P	A			0		
828	 You become aware of the ferret scraping at the rabbit, or of it killing the rabbit, or of the rabbit thumping in the hole.	P			P	A			P	A			0		
836	 Every time Grace rose on the swell, she was aware of the anchor chain tightening to its limit.	P			P				P	A			0		
844	 The induction will also include the suggestion that your limbs are growing increasingly heavy, although your mind will always be clear and you will be completely aware of all that is happening.	P			P	A			P	A			0		
845	 Jennifer was aware of a strange feeling of expectation during those first weeks after going to live with the Pascoes, as if the months of July and August were an interlude between two completely different stages in her life.	P		B	P			introspective	P	A			0		
854	 Once a worry-eater  usually a woman  learns to become more aware of herself and her emotions in the way shown in part II, she will be more able to control her reactions to stress and anxiety and less likely to turn to food for comfort.	P			P	A			P	A	B		0		
859	 Unenthusiastically, the men shone their torches around the couplings and flexible connections, but each and everyone of them was aware of the overpowering feeling of evil.	P			P				P	A		Thomas the Tank Engine?	0		
861	But even if treating our awareness of our own mental states as topic-neutral plausibly explains why we are not aware of our brains as such when we are aware of our mental states, it does not explain why knowing fully about the brain does not include knowledge of the nature of experience.	P			P				P	A		Negation 	0		
870	Toby had reappeared with the tray, and set it down on a small marble table, before Jackson was aware of his presence.	P			P				P	A			0		
874	 He'd seen her shudder and was rising to his feet, his gaze resting momentarily on her breasts, making her self-consciously aware of the thrust of her nipples against the stretch fabric.	P			P	A			P	A			0		
878	 At some stage in her sleep of exhaustion she drifted close enough to the surface of consciousness to be aware of a deep voice exclaiming over her, of strong arms that lifted and carried her, but in no way could she fight her way up from the smothering blanket of physical and mental fatigue.	P			P				P	A			0		
881	 He said, hardly aware of the severity in his voice: 'Didn't Chief Inspector Rickards ask you to keep this information confidential?	P			P	A			P	A			0		
886	 The current project will extend previous work by presenting the homograph primes so briefly that the subjects are not consciously aware of them.	P			P				P	A		Negation 	0		
890	 All women, including those who find street remarks flattering, are aware of being watched and assessed in a way men are not, and it makes women self-conscious in a way men do not need to be.	P			P				P	A	B		0		
891	 Robyn nodded stiffly and moved forwards, aware of his arm brushing hers as he fell into step beside her.	P			P				P	A			0		
900	 He watched, aware of a whole vocabulary of gesture there in the dialogue between the two men: conscious not just of what they said but of how they said it; how their eyes met or did not meet; how a shared smile would suddenly reveal the depths of their mutual understanding.	P			P	A			P	A			0		
914	 Her despair at this belated realisation had rendered her only half aware of being dragged down the gallery stairs and across a hall humming with surprised murmurs.	P			P				P	A		Partial negation	0		
922	 She was aware of the butler's discomfort and enjoying it.	P			P				P	A			0		
926	 Then he became aware of Carter's two henchmen on either side of him.	P			P				P	A			0		
935	He deliberately deepened his breathing, acutely aware of her body.	P	A	B	P	A			P	A			0		
936	 As he hugged her brusquely to him, she was aware of the tense muscles of his jawline against her cheek, and knew what an effort he was making to hold himself in check.	P			P	A			P	A			0		
937	 Perhaps it was like sleepwalking and she wasn't aware of it.	P			P				P	A		Negation 	0		
939	 While  speaking he had been aware of the Doctor's red, exasperated features grimacing in the first rank at the foot of the stairs; he had seemed nervously excited, anxious, impatient that the auction should be over.	P			P	A			P	A			0		
951	 He was hardly aware of lurching downstairs and into the sharp rain, binoculars thumping his chest.	P			P	A			P	A		Partial negation	0		
967	 She was unaware of the words she uttered, the encouragement; was only aware of his hard male body, warm and competent on hers, the driving thrust that pushed her further and further away from reality.	P			P	A			P	A		Negation 	0		
968	 Soon the old man became aware of his presence, turned, and winked.	P			P				P	A			0		
969	 All he was aware of was the deathly cold of the gun barrel.	P	A		P	A			P	A			0		
995	Until a few weeks ago she had been scarcely aware of him except as a friendly and familiar face in class; but now, now she was very much aware of him  and he was very definitely aware of her; much to Erika's embarrassment sitting with her and Rosa at lunch, at the next desk in class, asking her out to the cinema and even, to Erika's amazement and, she suspected, his own, offering to help Paul with his homework  in the Nordern home, that is  an offer declined both by Erika and Paul, although Paul did corner Fritz in school and suggest to him that if he actually  did  the homework then he, Paul, would further his, Fritz's, courtship of Erika; Paul being shrewd enough to guess the motive behind Fritz's philanthropic gesture even though the square on the hypotenuse might remain a mystery to him.	P			P				P	A		Partial negation	0		
996	 He was suddenly aware of the coldness beneath his chin and his eyes widened in shocked realisation.	P	A		P				P	A			0		
662	 But she was aware of an intense flood of relief that the meeting, alone with him in his offices, appeared to have passed without incident.	P			P				N	A			0		
135	 She was aware of a desperate coldness, of the tumultuous thudding of her heart.	P			P								0		
164	 When we read a poem silently, we are still aware of its phonological structure of rhythm, rhyme, etc.	P			P								0		
273	 All he would have been aware of was the ball and the net.	P	A		P	A							0		
823	 Only a fraction, but she was aware of it.	P			P				P	A		Not much context	0		
60	 Each day, throughout the day, although not always aware of it, people are engaged in carrying out numerous activities which have the specific purpose of maintaining a safe environment.	P	A	B	N	A			P	A	B	Partial negation	0	P	
77	 The physicians or surgeons were made aware of the exact endoscopic findings and treatment given in each case.	P			N				P	A			0	P	
80	 but I'm trying to make you aware of the fact that at some stage we should be looking long and hard at closing, right we'd ask the questions, you're quite good at asking questions, some sale field don't ask question, don't ask questions, right  see you want to have a	N			N				N		B		0	N	
149	 Despite the hundreds of people present, she was almost painfully aware of Ross's tall dark figure as he glided smoothly, like a predatory animal, among the guests.	P	A		P	A			P	A			0		
167	 I was aware of their voices but not of what they said.	P			P				P				0		
175	 Paige felt Travis's sudden alertness, even if Lori failed to be aware of it.	P			P				P	A			0		
239	 The former perhaps will repeat a pleasure until exhausted, the latter lose interest as soon as he is fully aware of its nuances, as though suspicious of the tendency of pleasures, like pains, to contract awareness to themselves.	P			P				P		B		0		
248	 She was aware of his scrutiny, but the shadowy darkness hid his eyes.	P			P				P				0		
250	 It was night when I became aware of the dogs whining somewhere and called them.	P			P				P	A			0		
268	 Concentration has nothing to do with gritting your teeth and braving it out; it's the secret of being more and more relaxed and aware of everything that is going on at the same time.	P			P	A			P	A			0		
323	 On the one hand, you need to consider yourself and be aware of yourself in all that you do and in every circumstance which arises.	P			P				P		B		0		
365	 Without being aware of getting there he found  himself outside the printer's shop.	P			P				P	A		Negation 	0		
366	 Hypnosis is rather like the former situation; you are aware of all that is happening but, because it feels so right and so pleasant, you allow it to happen.	P			P				P	A			0		
385	 I was no more alert to my environment than a  sick animal and I must have somehow been aware of that, because it was then that I remembered the starveling cat.	P			P				P	A	B		0		
419	 In an ideal world, If we all became truly aware of ourselves in relation to others, there would be no need for greed or violence but we are still far from our ideal world.	N			N				N		B		0		
429	 Eventually you will reach the point where you will wonder why one thumb appears to be getting tired and will look down to find that you were holding on a lot of stick trim without even being aware of it!	P			P			aware of without perceiving	P	A		Negation 	0		
479	 Every time I have to strike my heart is in my mouth, and although I do not consciously hold back when I strike, I wonder if I am doing so without being aware of it.	P			P	A			P	A		Negation 	0		
515	He moved his leg and was immediately aware of the cold empty space beside him.	P			P				P	A			0		
534	 In one graceful, easy movement, Rory swung her legs off the sun-lounger and stood up, horribly aware of his dark eyes on her.	P	A		P				P	A			0		
552	 Sometimes Liza would come across Harriet sitting by a window, staring out to sea, her hands, for once, lying idle in her lap, an expression of infinite sadness on her face,  which was quickly masked when she became aware of her daughter's presence.	P			P				P	A			0		
553	 Carey had been aware of the anxiety in Ellwood's voice when he spoke of Piper and deadlines.	P			P				P	A			0		
554	 Pregnancy made Carolyn aware of her body in a way she had never been before; her small breasts had become heavy and almost painfully sensitive, and when Alan stroked her, or breathed close with his hot breath on her nipples, she felt giddy and weak.	P			P	A			P	A			0		
582	 She heard his footsteps on the stairs and was only aware of the thrill that coursed through her.	P	A		P				P	A			0		
595	 As you hold the Chalice, become aware of any resistance you might have to drinking from it.	P			P	A			P	A			0		
603	 Ever since she had saved him in the snowstorm, George had been uncomfortably aware of her presence.	P			P				P	A			0		
637	 A determined glint in her aunt's eye had caused Lucy to become aware of a sudden misgiving.	P			P				P	A			0		
647	 This group of sufferers is likely to be more aware of the condition and its symptoms than affected young children.	N			N				N				0		
758	 Theodora was aware of the strength of Spruce's attention, but it wasn't aggressive, merely professional, and she in no way resented it.	P			P				P	A		?B	0		
825	In most competitions I was tense; I was racing, I was aware of the opposition and what they were doing.	P			P				P	A			0		
829	 The liquid within them, moving over their sensitive inside surface, enabled the proto-fish to be aware of its posture in the water.	P			P				P			"Debate the degree to which a ""protofish"" can attend."	0		
875	 He helped the girl down very deliberately  well aware of Burkett's calculating and approving regard  and as his fingers pressed on that tensile waist, as her free breasts brushed his over-layered chest, as her thighs carelessly kissed his own, he saw a break in the tight-capped cloud of his misery: but he could not reach out to it.	P			P				P	A	B		0		
976	 It's all done in a few seconds, which means it's even harder for you to fend off the messages; they go in subliminally, which means you aren't aware of them.	P			P	A			P	A		Negation 	0		
992	Why, thinking I was not aware of him, did he stay frozen?	P			P				P	A			0		
52	A church has to have an intangible atmosphere, a kind of presence which you are aware of.	P			P				P	A		“Intangible” literally means beyond senses, but is that what people mean really?	0		
497	 The pains themselves, since he is aware of them only in order to be assured of his sovereignty, remain on the boundaries of an awareness always centred on his own reactions to them.	P			P				P				0		
671	 He was only peripherally aware of all this.	P			P				P	A		Partial Negation 	0		
903	 The father can only go on to know God more profoundly and as the young man men become stronger, they are more aware of the indwelling spirit of power to overcome the tempter.	N			P?				N		B		1	P	
102	 She swung her hair back from her face impatiently, aware of the heat of the evening even though the car they were travelling in was air-conditioned.	P			P				P	A			0		
133	 Rock climbers can become very aware of the living nature of their element.	P			P				P	A			0		
154	 I was just aware of some compulsion.	P			P			introspective	P				0		
171	 In your sexual relations with other people, you need to be aware of more than the behavioural aspects.	N		B	P		B		P	A	B	As opposed to sexual relations with what?	1	P	
185	 A person who is aware of the results of his (or her) actions towards another individual will not deliberately inflict pain.	N		B	N				P		B		1	N	
186	 As the season progressed I'd become more aware of the gradual decline in the sharpness of my axes and crampons, bringing them more in line with mixed rather than ice climbing gear.	P			P				P		B		0		
194	 He was aware of sharp disappointment and betrayal.	P			P			introspective	P	A			0		
195	 Furthermore the characters are aware of their losses all the time, and bear a burden of regret.	N			P			introspective	P	A			1	P	
197	 When you swim with one he is constantly aware of your health and general well being, of your physiology and the level of your emotional arousal.	P			P	A			P	A	B	"Depends on what ""one"" is?"	0		
246	 While you are dressing him, you should make the patient aware of what you are doing by naming each garment as you put it on, and showing him that it is the right way round.	P			P				P	A			0		
293	 To reach it, follow the path along above the treeline aware of the fall, just visible through the trees.	P			P				P	A			0		
